AccountBlocked	account locked
AccountBlocked	Account locked
AccountBlocked	Account status blocked.
AccountBlocked	Can you please unblock my account?
AccountBlocked	Can't access my acct
AccountBlocked	Closed account
AccountBlocked	Hi i recently changed my number it already got approved but I purchased phone time twice and my number keeps getting blocked and my SO isn't able to call me
AccountBlocked	Hi my partner isdowntow Minneapolis i have made us two different video chats which never happened now i wanna put money on his book and it wont let me put my card that my account got locked for insufficient funda how can i help him
AccountBlocked	How do i take blocking off
AccountBlocked	I added funds and my account still says blocked
AccountBlocked	I am not understanding why I got denied my video session
AccountBlocked	I had an acct with securus but I am not able fo get in
AccountBlocked	I need to take my number off of another account so i can link it as my number allowed to receive calls i also need to close that old account unblock so i can receive calls
AccountBlocked	I want to know why my account is blocked
AccountBlocked	Inbound connect not setting up
AccountBlocked	Is my account blocked
AccountBlocked	is there a way for me to see if an e message has been received
AccountBlocked	It is saying my account is blocked and I do not understand why because I am just now setting it up.
AccountBlocked	It says blocked on my account. And 0
AccountBlocked	It says my account is blocked but there is $6 on there
AccountBlocked	My account is blocked
AccountBlocked	My account is saying block
AccountBlocked	My account is showing blocked. Can I please get assistance with that
AccountBlocked	My account not working
AccountBlocked	My account status says blocked but I have enough funds to receive phone calls. Why am I blocked and how do I fix it?
AccountBlocked	My phone account is blocked due to past bill. How do i pay it and fix ig
AccountBlocked	My phone number is blocked of the phone account wut can i do to unblock it or register for phone calls
AccountBlocked	My status says blocked ?
AccountBlocked	Number blocked
AccountBlocked	trying to get into my account , keeps saying technical difficulty
AccountBlocked	Unblocking number
AccountBlocked	Why am I blocked.
AccountBlocked	Why does is say my account is blocked
AccountBlocked	Why does my account show blocked
AccountBlocked	Why is my account blocked
AccountBlocked	Why is my account closed
AccountBlocked	Why is my account status “blocked”
AccountBlocked	Why is my number blocked from my loved one calling me and it says to contact support
AccountBlocked	Why is text messaging getting blocked
AccountClose	Close account
AccountClose	Close my account
AccountClose	Closed my account
AccountClose	Delete account
AccountClose	For some reason, the app is saying my account is closed
AccountClose	How can I get a account deleted
AccountClose	How do I cancel my account
AccountClose	how do i close an account
AccountClose	I need help with getting my account closed and my phone number put on another account
AccountClose	I need to get my account reset my family member no longer use you guys anymore I have someone else to want to use this service how can I do that
AccountClose	I would like to delete this account. It does not serve the location i am looking for.
AccountClose	My account is showing closed i didn't close my account...
AccountForgotEmailAddress	Forgot email
AccountForgotEmailAddress	Forgot email used
AccountForgotEmailAddress	hello I'm trying to add money to my son account but I cant remember my account info
AccountForgotEmailAddress	Hello! I'm having troubles remembering my email and password
AccountForgotEmailAddress	I am trying to log in my account and can not do it. My phone number is 2407137442. can you help me pleas
AccountForgotEmailAddress	I am unsure which email my phone account is tagged to
AccountForgotEmailAddress	I forgot what email I used for my account
AccountForgotEmailAddress	I need to add funds to my video connect account
AccountForgotEmailAddress	I opened e new account forgetting i had one flr
AccountForgotEmailAddress	I would like to add a phone number to my account
AccountForgotEmailAddress	I'm trying to add money to my account to receive calls but they put the money on the wrong account
AccountForgotEmailAddress	I'm trying to sign in and it keeps telling me my email is validated
AccountForgotEmailAddress	Need to schedule a visit for onsite it wo t let me when I click on schedule a visit
AccountForgotEmailAddress	Resetting my email I can't get in it anymore
AccountForgotEmailAddress	There is an account with my number but I don't know the email or
AccountForgotVerificationAnswers	forgot security questions
AccountFundsError	Payment hasn't posted
AccountFundsError	Payment not posted to account
AccountFundsError	Pending charges , money not on account
AccountGeneric	Issue with account
AccountGovernmentID	How can I change the information on my account
AccountGovernmentID	I am trying to change my name to match my id but it says the file is too big when I try and attach a photo of my license
AccountGovernmentID	I would like to change my customer information on my account
AccountLoginIssues	Can't login
AccountLoginIssues	Can't sign in
AccountLoginIssues	Cant sign in
AccountLoginIssues	how do I log into my account
AccountLoginIssues	I can't log in to my account
AccountLoginIssues	I can't login to my account
AccountLoginIssues	I'd doesn't let me login
AccountLoginIssues	It keeps saying invalid username and password but Ive reset my password multiple times
AccountLoginIssues	It won't let me reset password
AccountLoginIssues	Log on
AccountLoginIssues	Trying to retrieve an email from my brother Jpay and it is not allowing me to sign on
AccountLoginIssues	unable login
AccountOpen	create account
AccountOpen	CREATE AN ACCOUNT
AccountOpen	Hi I have went to set up a account but only giving me options for United States
AccountOpen	How can I setup an account with you I am from the UK
AccountOpen	how do I open an account
AccountOpen	I am trying to create a new account.
AccountOpen	I nerd to set up a prepaid calling account
AccountOpen	i want to set up email account
AccountOpen	I'm trying to create account. It tells me to agree to terms and conditions and there's nowhere for me to d
AccountOpen	I'm trying to set up an email message account to talk to my boyfriend but every time I try to log in it says that the username or password is incorrect and then when I try to create an account it's saying that I already have an account and my phone number can't be used again so I need help creating my account for iMessaging
AccountOpen	I've set a visit up on my account I didn't attend too is there any way I can reset the visit
AccountOpen	set up account over phone can't make an online account now
AccountOpen	Why can't I make a account
AccountOpen	Am I able to put money on the phone for inmate to make calls to other people
AccountOpen	Can start a account
AccountOpen	I am having trouble setting up a phone account. Once i select the facility it won't go to the next page
AccountOpen	I am trying to set up video calling or messaging with an inmate at huntsville
AccountOpen	If I put money up here they will be able to make phone calls?
AccountOpen	Someone just called me and I accidentally pressed 5 and 6 what happened
AccountOpen	Trying to set up phone connection but won't let me?
AccountOpen	Update phone number on account
AccountOpenError	Hi i tried to make an account and it's not letting me create one
AccountOpenError	I am trying to create an account but it keep saying my phone number is already in use and I only had my phone number for 2 years
AccountOpenError	I am trying to create an account but it won't let me.
AccountOpenError	I am unable to set up an account although I have tried repeatedly. When I reach the end of the process and press SUBMIT, the screen goes blank and stays that way.
AccountOpenError	I can't make an online account it keeps asking me to call
AccountOpenError	I deleted my account and im trying to make a new one but it's asking for a 4 digit passcode and i dont know it
AccountOpenError	I got an error message when trying to set up my account
AccountOpenError	i keep getting a error mess when i try to create a account
AccountOpenError	I'm try to create an account but it says my number already exists with an open account
AccountOpenError	I'm trying to create a account but no one is answering the phone and online just telling me I have to call the number
AccountOpenError	I'm trying to create an account but my number is already added so it won't let me create an account
AccountOpenError	I'm trying to create an acct. but when I click to submit I keep getting in error message stating that I need to enter a correct telephone number but I am.
AccountPasswordReset	Can't login or reset password
AccountPasswordReset	card on file
AccountPasswordReset	Forgot My Password
AccountPasswordReset	Hey I'm trying to get into my account but it's saying that invalid username or password so I'm confused why it won't let Mr into ny account
AccountPasswordReset	How do I get a passcode
AccountPasswordReset	How to I reset my password
AccountPasswordReset	I am unable get in old account can I reset it
AccountPasswordReset	I can't log in
AccountPasswordReset	I can't remember my password - you sent me a knew password, but I can't remember my email password either.
AccountPasswordReset	I created an account but am unable t o log in to fund my phone number
AccountPasswordReset	I don't remember my login information
AccountPasswordReset	I forgot my JPay password
AccountPasswordReset	I need to log into my account
AccountPasswordReset	I need to recover my account login and password
AccountPasswordReset	im having troubles logging into my account
AccountPasswordReset	its saying i cant make a account because my number is already in the system
AccountPasswordReset	Login hacked account
AccountPasswordReset	My account says I'm entering the wrong information and I know I'm not
AccountPasswordReset	My account won't let me longin at all. Even with a new password
AccountPasswordReset	My password is not working & y'all send me a generated password and it still ain't working
AccountPasswordReset	Reactivate my advanced connection account
AccountPasswordReset	Reset password
AccountPasswordReset	Saying invalid login but everything is correct
AccountPasswordReset	securus but I'm not able to get in. Reset password and still not working. Help!
AccountPasswordReset	Trying to login to old account
AccountPasswordReset	Username and password correct, still giving me an error and can't log in. I've reset password, the password from Securus doesn't work either
AccountProfileChange	Can I Update billing address?
AccountProfileChange	Change last name
AccountProfileChange	Change last name spelling on account
AccountProfileChange	change my email
AccountProfileChange	Change my main number
AccountProfileChange	Change my name and phone number
AccountProfileChange	Change number
AccountProfileChange	change phone number on my account
AccountProfileChange	change profile information
AccountProfileChange	Change too advance connect
AccountProfileChange	Changing contact phone number
AccountProfileChange	Changing email address
AccountProfileChange	Good afternoon. I mispelled my name when I opened my account apparently and it wont let me change it.
AccountProfileChange	hello im looking to update my phone number
AccountProfileChange	HOW CAN I CHANGE MY NAME ON MY SECURUS ACCT?
AccountProfileChange	How can I change the eemaill sddress I used to sign up??
AccountProfileChange	How to change name on account
AccountProfileChange	I am trying to change my name and everything on here
AccountProfileChange	I can't add a contact for emessage
AccountProfileChange	I just need I just need the phone number changed on my account on my profile the number that is accurate and needs to be used is 509-319-7009 I just want to make sure that's the number that I just added money on for inmate to call me cuz on my profile it's still listed as the other number
AccountProfileChange	I need to change my email address
